1.8,1.8,1.8,0,7.1,10.6,14.2,17.8,10.6,17.8,12.4,10.6,10.6,8.9,17.8,12.4,10.7,7.2,5.4,3.6,0,8.9,19.8,5.4,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2,8.9,14.2,7.2,5.4,7.1,0,5.4,1.8,3.6,0,1.8,1.8,0,0,3.6,12.4,5.4,0,0,0,0,0,0,0,0,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,8.9,5.3,0,0,0,0,3.6,3.6,0,0,0,0,0
0,0.6,0.9,1.5,1.2,1.2,0.6,0.9,0.9,0,0.6,0,0.3,0.3,1.2,0.6,0.3,0.3,0.9,0.6,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.8,0.8,2.3,2.8,3.8,4.6,4.6,4.3,3.3,2.5,0.8,0,0,0,0,0.3,0.8,1,1,1,1,1.5,0.8,0.6,0.6,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3,2.6,2,1.5,2.3,3.8,6,7.4,9.4,12.2,12.4,10.9,10.9,10.6,9.9,7.4,7.9,7.9,6.1,5.1,4,4.6,3.8,4,4,3.6,3.8,2.8,1.6,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.8,2.8,2.1,1.4,2.1,1.4,2.1,2.8,4.2,4.2,2.8,2.8,2.1,1.4,0,0,0,0.7,2.1,2.8,2.8,2.8,2.8,2.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,1,1,1,3,3,3,6.6,6.6,6.6,9.6,9.6,9.6,6.6,6.6,6.6,1,1,1,0.6,0.6,0.6,1,1,1,1,1,1,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8,5.4,12.4,10.6,8.9,3.6,3.6,7.2,8.9,3.6,3.6,0,3.6,0,3.6,0,1.8,8.9,7.1,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,3.6,3.6,0,0,0,0,0,0,0,0,0,0
0,3.6,10.7,5.4,12.4,23.6,14.2,16,8.9,3.6,0,0,1.8,1.8,0,0,1.8,7.2,1.8,0,3.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8,16.2,21.6,18,23.4,7.2,10.6,7.2,1.8,3.6,0,0,3.6,0,0,1.8,0,1.8,0,0,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6,14.5,16,17.8,18,5.4,7.1,3.6,0,3.6,0,0,3.6,8.9,8.9,3.6,12.5,8.9,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.8,1.8,3.6,1.8,0,0,0,0,0,0,0,0,0,0,0
4,3.6,2.8,1.8,1.6,2.8,4,4.8,5.8,6.9,7.6,7.6,7.6,6.6,6.3,5.3,4.5,3.6,4.1,7.2,7.6,8.9,9.4,9.9,8.7,5.5,4.3,3.1,1.8,1,0.8,0.6,0.6,0.6,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,0.6,1,1,1.6,2,2.3
3.6,0,3.6,1.8,8.9,14.2,19.8,19.8,7.2,8.9,10.6,7.2,7.2,5.4,3.6,5.4,3.6,8.9,8.9,1.8,3.6,7.2,7.1,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,2.6,3.7,4.4,4.7,4.3,3.3,2.7,1.5,0.7,0.3,0.2,0.3,0.4,0.5,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.8,0.8,0.8,0.6,0.6,0.2,0,0,0,0,0,0,0,0,0,0
